qId,qTextArr,qSpan,qText,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts
Q11,"['Thank you,']","[[5865, 5875]]","Thank you,",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[['you']],"[[[5871, 5874]]]",[[['Mrs. Hall']]]
Q12,"['I ll have them nicely dried, sir, at once,']","[[5947, 5989]]","I ll have them nicely dried, sir, at once,",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,[['sir']],"[[[5976, 5979]]]",[[['The Invisible Man']]]
Q13,"['I _never_,', 'There!']","[[6300, 6310], [6328, 6334]]","I _never_, There!",Mrs. Hall,[],Anaphoric,she whispered,"[[], []]","[[], []]","[[], []]"
Q14,"['The poor soul s had an accident or an op ration or somethin ,', 'What a turn them bandages did give me, to be sure!']","[[6961, 7022], [7041, 7091]]","The poor soul s had an accident or an op ration or somethin , What a turn them bandages did give me, to be sure!",Mrs. Hall,[],Explicit,said Mrs Hall,"[['The poor soul'], []]","[[[6961, 6974]], []]","[[['The Invisible Man']], []]"
Q15,"['And they goggles! Why, he looked more like\na divin  helmet than a human man!']","[[7195, 7271]]","And they goggles! Why, he looked more like
a divin  helmet than a human man!",Mrs. Hall,[],Implicit,,[['he']],"[[[7218, 7220]]]",[[['The Invisible Man']]]
Q16,['And holding that handkerchief over his mouth all the time.\nTalkin  through it! ... Perhaps his mouth was hurt too maybe.'],"[[7321, 7441]]","And holding that handkerchief over his mouth all the time.
Talkin  through it! ... Perhaps his mouth was hurt too maybe.",Mrs. Hall,[],Implicit,,"[['his', 'his']]","[[[7356, 7359], [7412, 7415]]]","[[['The Invisible Man'], ['The Invisible Man']]]"
Q17,"['Bless my soul alive!', 'ain t you done them taters _yet_,\nMillie?']","[[7494, 7514], [7551, 7592]]","Bless my soul alive! ain t you done them taters _yet_,
Millie?",Mrs. Hall,[],Anaphoric,she said,"[[], []]","[[], []]","[[], []]"
Q18,"['I have some luggage,', 'at Bramblehurst station,', 'To-morrow?', 'There is no speedier delivery?']","[[8326, 8346], [8358, 8382], [8509, 8519], [8531, 8561]]","I have some luggage, at Bramblehurst station, To-morrow? There is no speedier delivery?",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,"[[], [], [], []]","[[], [], [], []]","[[], [], [], []]"
Q19,['No.'],"[[8613, 8616]]",No.,Mrs. Hall,['The Invisible Man'],Anaphoric,she answered,[[]],[[]],[[]]
Q20,"['It s a steep road by the down, sir,']","[[8757, 8792]]","It s a steep road by the down, sir,",Mrs. Hall,['The Invisible Man'],Anaphoric,she said said,[['sir']],"[[[8788, 8791]]]",[[['The Invisible Man']]]
Q21,"['It was there a carriage was upsettled, a year ago and more. A\ngentleman killed, besides his coachman. Accidents, sir, happen in a\nmoment, don t they?']","[[8885, 9034]]","It was there a carriage was upsettled, a year ago and more. A
gentleman killed, besides his coachman. Accidents, sir, happen in a
moment, don t they?",Mrs. Hall,['The Invisible Man'],Anaphoric,she said in answer to the question about a trap and then snatching at an opening said,[['sir']],"[[[8998, 9001]]]",[[['The Invisible Man']]]
Q22,"['They do,']","[[9085, 9093]]","They do,",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[[]],[[]],[[]]
Q23,"['But they take long enough to get well, don t they? ... There was my\nsister s son, Tom, jest cut his arm with a scythe, tumbled on it in the\n ayfield, and, bless me! he was three months tied up sir. You d hardly\nbelieve it. It s regular given me a dread of a scythe, sir.']","[[9179, 9449]]","But they take long enough to get well, don t they? ... There was my
sister s son, Tom, jest cut his arm with a scythe, tumbled on it in the
 ayfield, and, bless me! he was three months tied up sir. You d hardly
believe it. It s regular given me a dread of a scythe, sir.",Mrs. Hall,['The Invisible Man'],Implicit,,"[['sir', 'You', 'sir']]","[[[9372, 9375], [9377, 9380], [9445, 9448]]]","[[['The Invisible Man'], ['The Invisible Man'], ['The Invisible Man']]]"
Q24,"['I can quite understand that,']","[[9453, 9481]]","I can quite understand that,",The Invisible Man,['Mrs. Hall'],Anaphoric,said the visitor,[[]],[[]],[[]]
Q25,"['He was afraid, one time, that he d have to have an op ration he was\nthat bad, sir.']","[[9503, 9585]]","He was afraid, one time, that he d have to have an op ration he was
that bad, sir.",Mrs. Hall,['The Invisible Man'],Implicit,,[['sir']],"[[[9581, 9584]]]",[[['The Invisible Man']]]
Q26,['_Was_ he?'],"[[9683, 9692]]",_Was_ he?,The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[[]],[[]],[[]]
Q27,"['He was, sir. And no laughing matter to them as had the doing for him,\nas I had my sister being took up with her little ones so much. There\nwas bandages to do, sir, and bandages to undo. So that if I may make so\nbold as to say it, sir']","[[9705, 9939]]","He was, sir. And no laughing matter to them as had the doing for him,
as I had my sister being took up with her little ones so much. There
was bandages to do, sir, and bandages to undo. So that if I may make so
bold as to say it, sir",Mrs. Hall,['The Invisible Man'],Implicit,,"[['sir', 'sir', 'sir']]","[[[9713, 9716], [9864, 9867], [9935, 9938]]]","[[['The Invisible Man'], ['The Invisible Man'], ['The Invisible Man']]]"
Q28,"['Will you get me some matches?', 'My\npipe is out.']","[[9943, 9972], [10009, 10024]]","Will you get me some matches? My
pipe is out.",The Invisible Man,['Mrs. Hall'],Anaphoric,said the visitor,"[['you'], []]","[[[9948, 9951]], []]","[[['Mrs. Hall']], []]"
Q29,"['Thanks,']","[[10222, 10229]]","Thanks,",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[[]],[[]],[[]]
Q30,"['My sakes! Mrs.\nHall,', 'but this is terrible weather for thin boots!']","[[11312, 11332], [11344, 11388]]","My sakes! Mrs.
Hall, but this is terrible weather for thin boots!",Mr. Teddy Henfrey,['Mrs. Hall'],Anaphoric,said he,"[['Mrs.\nHall'], []]","[[[11322, 11331]], []]","[[['Mrs. Hall']], []]"
Q31,"['Now you re\nhere, Mr. Teddy,', 'I d be glad if you d give th  old clock in\nthe parlour a bit of a look.  Tis going, and it strikes well and\nhearty; but the hour-hand won t do nuthin  but point at six.']","[[11489, 11516], [11529, 11697]]","Now you re
here, Mr. Teddy, I d be glad if you d give th  old clock in
the parlour a bit of a look.  Tis going, and it strikes well and
hearty; but the hour-hand won t do nuthin  but point at six.",Mrs. Hall,['Mr. Teddy Henfrey'],Anaphoric,said she,"[['you', 'Mr. Teddy'], ['you']]","[[[11493, 11496], [11506, 11515]], [[11544, 11547]]]","[[['Mr. Teddy Henfrey'], ['Mr. Teddy Henfrey']], [['Mr. Teddy Henfrey']]]"
Q32,"['Would you mind, sir, this man a-coming to look at the clock, sir?']","[[12866, 12931]]","Would you mind, sir, this man a-coming to look at the clock, sir?",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,"[['you', 'sir', 'this man', 'sir']]","[[[12872, 12875], [12882, 12885], [12887, 12895], [12927, 12930]]]","[[['The Invisible Man'], ['The Invisible Man'], ['Mr. Teddy Henfrey'], ['The Invisible Man']]]"
Q33,"['Look at the clock?', 'certainly.']","[[12982, 13000], [13110, 13120]]",Look at the clock? certainly.,The Invisible Man,['Mrs. Hall'],Anaphoric,he said,"[[], []]","[[], []]","[[], []]"
Q34,['taken aback.'],"[[13305, 13317]]",taken aback.,Mr. Teddy Henfrey,[],Anaphoric,he says,[[]],[[]],[[]]
Q35,"['Good afternoon,']","[[13321, 13336]]","Good afternoon,",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Explicit,said the stranger,[[]],[[]],[[]]
Q36,['like a lobster.'],"[[13435, 13450]]",like a lobster.,Mr. Teddy Henfrey,[],Explicit,Mr Henfrey says,[[]],[[]],[[]]
Q37,"['I hope,', 'that it s no intrusion.']","[[13454, 13461], [13482, 13505]]","I hope, that it s no intrusion.",Mr. Teddy Henfrey,"['Mrs. Hall', 'The Invisible Man']",Explicit,said Mr Henfrey,"[[], []]","[[], []]","[[], []]"
Q38,"['None whatever,']","[[13509, 13523]]","None whatever,",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Explicit,said the stranger,[[]],[[]],[[]]
Q39,"['Though, I understand,', 'that this room is really to be mine for my own\nprivate use.']","[[13545, 13566], [13599, 13658]]","Though, I understand, that this room is really to be mine for my own
private use.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Anaphoric,he said,"[[], []]","[[], []]","[[], []]"
Q40,"['I thought, sir,', 'you d prefer the clock']","[[13662, 13677], [13696, 13719]]","I thought, sir, you d prefer the clock",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",Explicit,said Mrs Hall,"[['sir'], ['you']]","[[[13673, 13676]], [[13696, 13699]]]","[[['The Invisible Man']], [['The Invisible Man']]]"
Q41,"['Certainly,', 'certainly but, as a rule, I like to be\nalone and undisturbed.']","[[13723, 13733], [13755, 13816]]","Certainly, certainly but, as a rule, I like to be
alone and undisturbed.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Explicit,said the stranger,"[[], []]","[[], []]","[[], []]"
Q42,"['But I m really glad to have the clock seen to,', 'Very glad.', 'And presently,', 'when the\nclock-mending is over, I think I should like to have some tea. But not\ntill the clock-mending is over.', 'You are certain that is the earliest?']","[[13820, 13866], [13931, 13941], [14125, 14139], [14151, 14262], [14623, 14660]]","But I m really glad to have the clock seen to, Very glad. And presently, when the
clock-mending is over, I think I should like to have some tea. But not
till the clock-mending is over. You are certain that is the earliest?",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Anaphoric,he said,"[[], [], [], [], ['You']]","[[], [], [], [], [[14623, 14626]]]","[[], [], [], [], [['Mrs. Hall']]]"
Q43,"['I should explain,', 'what I was really too cold and fatigued\nto do before, that I am an experimental investigator.']","[[14715, 14732], [14745, 14838]]","I should explain, what I was really too cold and fatigued
to do before, that I am an experimental investigator.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Anaphoric,he added,"[[], []]","[[], []]","[[], []]"
Q44,"['Indeed, sir,']","[[14842, 14854]]","Indeed, sir,",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",Explicit,said Mrs Hall,[[]],[[]],[[]]
Q45,['And my baggage contains apparatus and appliances.'],"[[14890, 14939]]",And my baggage contains apparatus and appliances.,The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Implicit,,[[]],[[]],[[]]
Q46,"['Very useful things indeed they are, sir,']","[[14943, 14983]]","Very useful things indeed they are, sir,",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",Explicit,said Mrs Hall,[[]],[[]],[[]]
Q47,['And I m very naturally anxious to get on with my inquiries.'],"[[15003, 15062]]",And I m very naturally anxious to get on with my inquiries.,The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Implicit,,[[]],[[]],[[]]
Q48,"['Of course, sir.']","[[15066, 15081]]","Of course, sir.",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",Implicit,,[[]],[[]],[[]]
Q49,"['My reason for coming to Iping,', 'was ... a desire for solitude. I do not wish\nto be disturbed in my work. In addition to my work, an accident']","[[15085, 15115], [15171, 15280]]","My reason for coming to Iping, was ... a desire for solitude. I do not wish
to be disturbed in my work. In addition to my work, an accident",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Anaphoric,he proceeded,"[[], []]","[[], []]","[[], []]"
Q50,"['I thought as much,']","[[15284, 15302]]","I thought as much,",Mrs. Hall,['Mrs. Hall'],Explicit,said Mrs Hall to herself,[[]],[[]],[[]]
Q51,"['necessitates a certain retirement. My eyes are sometimes so weak and\npainful that I have to shut myself up in the dark for hours together.\nLock myself up. Sometimes now and then. Not at present, certainly. At\nsuch times the slightest disturbance, the entry of a stranger into the\nroom, is a source of excruciating annoyance to me it is well these\nthings should be understood.']","[[15333, 15709]]","necessitates a certain retirement. My eyes are sometimes so weak and
painful that I have to shut myself up in the dark for hours together.
Lock myself up. Sometimes now and then. Not at present, certainly. At
such times the slightest disturbance, the entry of a stranger into the
room, is a source of excruciating annoyance to me it is well these
things should be understood.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Implicit,,[[]],[[]],[[]]
Q52,"['Certainly, sir,', 'And if I might make so bold as to\nask']","[[15713, 15728], [15747, 15785]]","Certainly, sir, And if I might make so bold as to
ask",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",Explicit,said Mrs Hall,"[['sir'], []]","[[[15724, 15727]], []]","[[['The Invisible Man']], []]"
Q53,"['That I think, is all,']","[[15789, 15810]]","That I think, is all,",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",Explicit,said the stranger,[[]],[[]],[[]]
Q54,['The\nweather'],"[[17291, 17303]]","The
weather",Mr. Teddy Henfrey,['The Invisible Man'],Anaphoric,he began,[[]],[[]],[[]]
Q55,"['Why don t you finish and go?', 'All you ve got to do is to fix the\nhour-hand on its axle. You re simply humbugging']","[[17317, 17345], [17422, 17505]]","Why don t you finish and go? All you ve got to do is to fix the
hour-hand on its axle. You re simply humbugging",The Invisible Man,['Mr. Teddy Henfrey'],Anaphoric,said the rigid figure,"[[], []]","[[], []]","[[], []]"
Q56,"['Certainly, sir one minute more. I overlooked']","[[17509, 17554]]","Certainly, sir one minute more. I overlooked",Mr. Teddy Henfrey,['The Invisible Man'],Implicit,,[['sir']],"[[[17520, 17523]]]",[[['Hall']]]
Q57,"['Damn it!', 'a man\nmust do a clock at times, surely.']","[[17634, 17642], [17726, 17765]]","Damn it! a man
must do a clock at times, surely.",Mr. Teddy Henfrey,['Mr. Teddy Henfrey'],Explicit,said Mr Henfrey to himself,"[[], []]","[[], []]","[[], []]"
Q58,['Can t a man look at you? Ugly!'],"[[17780, 17810]]",Can t a man look at you? Ugly!,Mr. Teddy Henfrey,[],Implicit,,[['you']],"[[[17800, 17803]]]",[[['The Invisible Man']]]
Q59,['Seemingly not. If the police was wanting you you\ncouldn t be more wropped and bandaged.'],"[[17829, 17916]]","Seemingly not. If the police was wanting you you
couldn t be more wropped and bandaged.",Mr. Teddy Henfrey,[],Implicit,,"[['you', 'you']]","[[[17870, 17873], [17874, 17877]]]","[[['The Invisible Man'], ['The Invisible Man']]]"
Q60,"['Ow do, Teddy?']","[[18263, 18277]]","Ow do, Teddy?",Mr. Hall,['Mr. Teddy Henfrey'],Anaphoric,he said,[['Teddy']],"[[[18271, 18276]]]",[[['Mr. Teddy Henfrey']]]
Q61,['You got a rum un up home!'],"[[18299, 18324]]",You got a rum un up home!,Mr. Teddy Henfrey,['Mr. Hall'],Explicit,said Teddy,[['You']],"[[[18299, 18302]]]",[[['Mr. Hall']]]
Q62,['What s that?'],"[[18370, 18382]]",What s that?,Mr. Hall,['Mr. Teddy Henfrey'],Anaphoric,he asked,[[]],[[]],[[]]
Q63,"['Rum-looking customer stopping at the  Coach and Horses,', 'My sakes!']","[[18396, 18452], [18467, 18476]]","Rum-looking customer stopping at the  Coach and Horses, My sakes!",Mr. Teddy Henfrey,['Mr. Hall'],Explicit,said Teddy,"[['Rum-looking customer'], []]","[[[18396, 18416]], []]","[[['The Invisible Man']], []]"
Q64,"['Looks a bit like a disguise, don t it? I d like to see a man s\nface if I had him stopping in _my_ place,', 'But women are\nthat trustful where strangers are concerned. He s took your rooms and\nhe ain t even given a name, Hall.']","[[18554, 18658], [18675, 18792]]","Looks a bit like a disguise, don t it? I d like to see a man s
face if I had him stopping in _my_ place, But women are
that trustful where strangers are concerned. He s took your rooms and
he ain t even given a name, Hall.",Mr. Teddy Henfrey,['Mr. Hall'],Explicit,said Henfrey,"[[], ['He', 'your', 'he', 'Hall']]","[[], [[18734, 18736], [18744, 18748], [18759, 18761], [18787, 18791]]]","[[], [['The Invisible Man'], ['Hall'], ['The Invisible Man'], ['Mr. Hall']]]"
Q65,['You don t say so!'],"[[18796, 18813]]",You don t say so!,Mr. Hall,['Mr. Teddy Henfrey'],Explicit,said Hall,[['You']],"[[[18796, 18799]]]",[[['Mr. Teddy Henfrey']]]
Q66,"['Yes,', 'By the week. Whatever he is, you can t get rid of\nhim under the week. And he s got a lot of luggage coming to-morrow, so\nhe says. Let s hope it won t be stones in boxes, Hall.']","[[18868, 18872], [18887, 19062]]","Yes, By the week. Whatever he is, you can t get rid of
him under the week. And he s got a lot of luggage coming to-morrow, so
he says. Let s hope it won t be stones in boxes, Hall.",Mr. Teddy Henfrey,['Mr. Hall'],Explicit,said Teddy,"[[], ['he', 'you', 'him', 'he', 'he', 'Hall']]","[[], [[18909, 18911], [18916, 18919], [18937, 18940], [18961, 18963], [19008, 19010], [19057, 19061]]]","[[], [['The Invisible Man'], ['Mr. Hall'], ['The Invisible Man'], ['The Invisible Man'], ['The Invisible Man'], ['Mr. Hall']]]"
Q67,"['Get up, old girl,', 'I s pose I must see  bout this.']","[[19205, 19222], [19236, 19267]]","Get up, old girl, I s pose I must see  bout this.",Mr. Hall,['Mr. Teddy Henfrey'],Explicit,said Hall,"[[], []]","[[], []]","[[], []]"
Q68,"['You wim  don t\nknow everything,']","[[19668, 19699]]","You wim  don t
know everything,",Mr. Hall,['Mrs. Hall'],Explicit,said Mr Hall,[[]],[[]],[[]]
Q69,"['You mind your own business, Hall,', 'and I ll mind\nmine.']","[[20274, 20307], [20326, 20345]]","You mind your own business, Hall, and I ll mind
mine.",Mrs. Hall,['Mr. Hall'],Explicit,said Mrs Hall,"[['You', 'your', 'Hall'], []]","[[[20274, 20277], [20283, 20287], [20302, 20306]], []]","[[['Mr. Hall'], ['Mr. Hall'], ['Mr. Hall']], []]"
Q70,"['Come along with\nthose boxes,', 'I ve been waiting long enough.']","[[21714, 21742], [21754, 21784]]","Come along with
those boxes, I ve been waiting long enough.",The Invisible Man,"['Fearenside', 'Mr. Hall']",Anaphoric,he said,"[[], []]","[[], []]","[[], []]"
Q71,['Whup!'],"[[22090, 22095]]",Whup!,Mr. Hall,"['Fearenside', 'The Invisible Man']",Explicit,cried Hall,[[]],[[]],[[]]
Q72,['Lie down!'],"[[22177, 22186]]",Lie down!,Fearenside,"['The Invisible Man', 'Mr. Hall']",Explicit,Fearenside howled,[[]],[[]],[[]]
Q73,"['You brute, you!', 'Come\nhere,', 'You d better.']","[[22855, 22870], [22986, 22996], [23015, 23028]]","You brute, you! Come
here, You d better.",Fearenside,['Mr. Hall'],Explicit,said Fearenside,"[[], [], []]","[[], [], []]","[[], [], []]"
Q74,"['He wuz bit,', 'I d better go and see\nto en,']","[[23055, 23066], [23080, 23108]]","He wuz bit, I d better go and see
to en,",Mr. Hall,['Fearenside'],Explicit,said Hall,"[['He'], ['en']]","[[[23055, 23057]], [[23105, 23107]]]","[[['The Invisible Man']], [['The Invisible Man']]]"
Q75,"['Carrier s darg,', 'bit en.']","[[23179, 23194], [23205, 23212]]","Carrier s darg, bit en.",Mr. Hall,['Mrs. Hall'],Anaphoric,he said,"[['Carrier'], ['en']]","[[[23179, 23186]], [[23209, 23211]]]","[[['Fearenside']], [['The Invisible Man']]]"
Q76,"['He don t want no help, he says,', 'We d better be a-takin  of his luggage in.']","[[24677, 24708], [24752, 24794]]","He don t want no help, he says, We d better be a-takin  of his luggage in.",Mr. Hall,"['A Lady In The Group', 'Mrs. Hall', 'Huxter', 'Fearenside', 'Mr. Sandy Wadgers']",Anaphoric,he said,"[['He', 'he'], ['We', 'his']]","[[[24677, 24679], [24700, 24702]], [[24752, 24754], [24779, 24782]]]","[[['The Invisible Man'], ['The Invisible Man']], [['Mrs. Hall', 'Mr. Hall'], ['The Invisible Man']]]"
Q77,"['He ought to have it cauterised at once,', 'especially\nif it s at all inflamed.']","[[24798, 24837], [24857, 24892]]","He ought to have it cauterised at once, especially
if it s at all inflamed.",Huxter,"['A Lady In The Group', 'Mr. Hall', 'Mrs. Hall', 'Fearenside', 'Mr. Sandy Wadgers']",Explicit,said Mr Huxter,"[['He'], []]","[[[24798, 24800]], []]","[[['The Invisible Man']], []]"
Q78,"['I d shoot en, that s what I d do,']","[[24896, 24929]]","I d shoot en, that s what I d do,",A Lady In The Group,"['Mr. Hall', 'Mrs. Hall', 'Huxter', 'Fearenside', 'Mr. Sandy Wadgers']",Explicit,said a lady in the group,[[]],[[]],[[]]
Q79,"['Come along,', 'The sooner you get those things in the better I ll be pleased.']","[[24999, 25010], [25142, 25204]]","Come along, The sooner you get those things in the better I ll be pleased.",The Invisible Man,"['A Lady In The Group', 'Mr. Hall', 'Mrs. Hall', 'Huxter', 'Fearenside', 'Mr. Sandy Wadgers']",Anaphoric,cried an angry voice,"[[], ['you']]","[[], [[25153, 25156]]]","[[], [['Fearenside']]]"
Q80,"['Was you hurt, sir?', 'I m rare sorry the darg']","[[25294, 25312], [25332, 25356]]","Was you hurt, sir? I m rare sorry the darg",Fearenside,"['The Invisible Man', 'A Lady In The Group', 'Mr. Hall', 'Mrs. Hall', 'Huxter', 'Mr. Sandy Wadgers']",Explicit,said Fearenside,"[['you', 'sir'], []]","[[[25298, 25301], [25308, 25311]], []]","[[['The Invisible Man'], ['The Invisible Man']], []]"
Q81,"['Not a bit,', 'Never broke the skin. Hurry up with\nthose things.']","[[25360, 25370], [25392, 25441]]","Not a bit, Never broke the skin. Hurry up with
those things.",The Invisible Man,"['A Lady In The Group', 'Mr. Hall', 'Mrs. Hall', 'Huxter', 'Fearenside', 'Mr. Sandy Wadgers']",Explicit,said the stranger,"[[], []]","[[], []]","[[], []]"
Q82,"['I wish you wouldn t come in without knocking,']","[[27538, 27583]]","I wish you wouldn t come in without knocking,",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[['you']],"[[[27545, 27548]]]",[[['Mrs. Hall']]]
Q83,"['I knocked, but seemingly']","[[27670, 27695]]","I knocked, but seemingly",Mrs. Hall,['The Invisible Man'],Implicit,,[[]],[[]],[[]]
Q84,"['Perhaps you did. But in my investigations my really very urgent and\nnecessary investigations the slightest disturbance, the jar of a door I\nmust ask you']","[[27699, 27852]]","Perhaps you did. But in my investigations my really very urgent and
necessary investigations the slightest disturbance, the jar of a door I
must ask you",The Invisible Man,['Mrs. Hall'],Implicit,,"[['you', 'you']]","[[[27707, 27710], [27848, 27851]]]","[[['Mrs. Hall'], ['Mrs. Hall']]]"
Q85,"['Certainly, sir. You can turn the lock if you re like that, you know.\nAny time.']","[[27856, 27934]]","Certainly, sir. You can turn the lock if you re like that, you know.
Any time.",Mrs. Hall,['The Invisible Man'],Implicit,,"[['sir', 'You', 'you', 'you']]","[[[27867, 27870], [27872, 27875], [27897, 27900], [27915, 27918]]]","[[['The Invisible Man'], ['The Invisible Man'], ['The Invisible Man'], ['The Invisible Man']]]"
Q86,"['A very good idea,']","[[27938, 27955]]","A very good idea,",The Invisible Man,['Mrs. Hall'],Explicit,said the stranger,[[]],[[]],[[]]
Q87,"['This stror, sir, if I might make so bold as to remark']","[[27978, 28032]]","This stror, sir, if I might make so bold as to remark",Mrs. Hall,['The Invisible Man'],Implicit,,[['sir']],"[[[27990, 27993]]]",[[['The Invisible Man']]]
Q88,['Don t. If the straw makes trouble put it down in the bill.'],"[[28036, 28094]]",Don t. If the straw makes trouble put it down in the bill.,The Invisible Man,['Mrs. Hall'],Implicit,,[[]],[[]],[[]]
Q89,"['In which case, I should like to know,\nsir, what you consider']","[[28323, 28384]]","In which case, I should like to know,
sir, what you consider",Mrs. Hall,['The Invisible Man'],Implicit,,"[['sir', 'you']]","[[[28361, 28364], [28371, 28374]]]","[[['The Invisible Man'], ['The Invisible Man']]]"
Q90,['A shilling put down a shilling. Surely a shilling s enough?'],"[[28388, 28447]]",A shilling put down a shilling. Surely a shilling s enough?,The Invisible Man,['Mrs. Hall'],Implicit,,[[]],[[]],[[]]
Q91,"['So be it,', 'If you re satisfied, of course']","[[28451, 28460], [28548, 28579]]","So be it, If you re satisfied, of course",Mrs. Hall,['The Invisible Man'],Explicit,said Mrs Hall,"[[], ['you']]","[[], [[28551, 28554]]]","[[], [['The Invisible Man']]]"
Q92,"['I can t go on,', 'I _can t_ go on. Three hundred\nthousand, four hundred thousand! The huge multitude! Cheated! All my\nlife it may take me! ... Patience! Patience indeed! ... Fool! fool!']","[[29038, 29052], [29070, 29237]]","I can t go on, I _can t_ go on. Three hundred
thousand, four hundred thousand! The huge multitude! Cheated! All my
life it may take me! ... Patience! Patience indeed! ... Fool! fool!",The Invisible Man,[],Anaphoric,he was raving,"[[], ['Fool', 'fool']]","[[], [[29226, 29230], [29232, 29236]]]","[[], [['The Invisible Man'], ['The Invisible Man']]]"
Q93,"['Put it down in the bill,', 'For God s sake don t\nworry me. If there s damage done, put it down in the bill,']","[[29722, 29746], [29770, 29849]]","Put it down in the bill, For God s sake don t
worry me. If there s damage done, put it down in the bill,",The Invisible Man,['Mrs. Hall'],Anaphoric,snapped her visitor,"[[], []]","[[], []]","[[], []]"
Q94,"['I ll tell you something,']","[[29916, 29940]]","I ll tell you something,",Fearenside,['Mr. Teddy Henfrey'],Explicit,said Fearenside,[['you']],"[[[29926, 29929]]]",[[['Mr. Teddy Henfrey']]]
